ID,Date,LEAVE,LVETIME,ARRIVE,ARRTIME,EQUIP,FAACARR,SEATS
0,2007-07-01,JFK,900,LAX,1155,B762,AAL,158
1,2007-07-02,JFK,900,LAX,1155,B762,AAL,158
2,2007-07-03,JFK,900,LAX,1155,B762,AAL,158
3,2007-07-04,JFK,900,LAX,1155,B762,AAL,158
4,2007-07-05,JFK,900,LAX,1155,B762,AAL,158
5,2007-07-06,JFK,900,LAX,1155,B762,AAL,158
6,2007-07-07,JFK,900,LAX,1155,B762,AAL,158
7,2007-07-08,JFK,900,LAX,1155,B762,AAL,158
8,2007-07-09,JFK,900,LAX,1155,B762,AAL,158
9,2007-07-10,JFK,900,LAX,1155,B762,AAL,158
10,2007-07-11,JFK,900,LAX,1155,B762,AAL,158
11,2007-07-12,JFK,900,LAX,1155,B762,AAL,158
12,2007-07-13,JFK,900,LAX,1155,B762,AAL,158
13,2007-07-14,JFK,900,LAX,1155,B762,AAL,158
14,2007-07-15,JFK,900,LAX,1155,B762,AAL,158
15,2007-07-16,JFK,900,LAX,1155,B762,AAL,158
16,2007-07-17,JFK,900,LAX,1155,B762,AAL,158
17,2007-07-18,JFK,900,LAX,1155,B762,AAL,158
18,2007-07-19,JFK,900,LAX,1155,B762,AAL,158
19,2007-07-20,JFK,900,LAX,1155,B762,AAL,158
20,2007-07-21,JFK,900,LAX,1155,B762,AAL,158
21,2007-07-22,JFK,900,LAX,1155,B762,AAL,158
22,2007-07-23,JFK,900,LAX,1155,B762,AAL,158
23,2007-07-24,JFK,900,LAX,1155,B762,AAL,158
24,2007-07-25,JFK,900,LAX,1155,B762,AAL,158
25,2007-07-26,JFK,900,LAX,1155,B762,AAL,158
26,2007-07-27,JFK,900,LAX,1155,B762,AAL,158
27,2007-07-28,JFK,900,LAX,1155,B762,AAL,158
28,2007-07-29,JFK,900,LAX,1155,B762,AAL,158
29,2007-07-30,JFK,900,LAX,1155,B762,AAL,158
30,2007-07-31,JFK,900,LAX,1155,B762,AAL,158
31,2007-07-01,LAX,935,JFK,1805,B762,AAL,158
32,2007-07-02,LAX,935,JFK,1805,B762,AAL,158
33,2007-07-03,LAX,935,JFK,1805,B762,AAL,158
34,2007-07-04,LAX,935,JFK,1805,B762,AAL,158
35,2007-07-05,LAX,935,JFK,1805,B762,AAL,158
36,2007-07-06,LAX,935,JFK,1805,B762,AAL,158
37,2007-07-07,LAX,935,JFK,1805,B762,AAL,158
38,2007-07-08,LAX,935,JFK,1805,B762,AAL,158
39,2007-07-09,LAX,935,JFK,1805,B762,AAL,158
40,2007-07-10,LAX,935,JFK,1805,B762,AAL,158
41,2007-07-11,LAX,935,JFK,1805,B762,AAL,158
42,2007-07-12,LAX,935,JFK,1805,B762,AAL,158
43,2007-07-13,LAX,935,JFK,1805,B762,AAL,158
44,2007-07-14,LAX,935,JFK,1805,B762,AAL,158
45,2007-07-15,LAX,935,JFK,1805,B762,AAL,158
46,2007-07-16,LAX,935,JFK,1805,B762,AAL,158
47,2007-07-17,LAX,935,JFK,1805,B762,AAL,158
48,2007-07-18,LAX,935,JFK,1805,B762,AAL,158
49,2007-07-19,LAX,935,JFK,1805,B762,AAL,158
50,2007-07-20,LAX,935,JFK,1805,B762,AAL,158
51,2007-07-21,LAX,935,JFK,1805,B762,AAL,158
52,2007-07-22,LAX,935,JFK,1805,B762,AAL,158
53,2007-07-23,LAX,935,JFK,1805,B762,AAL,158
54,2007-07-24,LAX,935,JFK,1805,B762,AAL,158
55,2007-07-25,LAX,935,JFK,1805,B762,AAL,158
56,2007-07-26,LAX,935,JFK,1805,B762,AAL,158
57,2007-07-27,LAX,935,JFK,1805,B762,AAL,158
58,2007-07-28,LAX,935,JFK,1805,B762,AAL,158
59,2007-07-29,LAX,935,JFK,1805,B762,AAL,158
60,2007-07-30,LAX,935,JFK,1805,B762,AAL,158
61,2007-07-31,LAX,935,JFK,1805,B762,AAL,158
62,2007-07-28,JFK,1200,LAX,1445,B762,AAL,158
63,2007-07-26,JFK,1200,LAX,1445,B762,AAL,158
64,2007-07-27,JFK,1200,LAX,1445,B762,AAL,158
65,2007-07-05,JFK,1200,LAX,1445,B762,AAL,158
66,2007-07-06,JFK,1200,LAX,1445,B762,AAL,158
67,2007-07-07,JFK,1200,LAX,1445,B762,AAL,158
68,2007-07-12,JFK,1200,LAX,1445,B762,AAL,158
69,2007-07-13,JFK,1200,LAX,1445,B762,AAL,158
70,2007-07-14,JFK,1200,LAX,1445,B762,AAL,158
71,2007-07-19,JFK,1200,LAX,1445,B762,AAL,158
72,2007-07-20,JFK,1200,LAX,1445,B762,AAL,158
73,2007-07-21,JFK,1200,LAX,1445,B762,AAL,158
74,2007-07-04,JFK,1200,LAX,1445,B762,AAL,158
75,2007-07-11,JFK,1200,LAX,1445,B762,AAL,158
76,2007-07-18,JFK,1200,LAX,1445,B762,AAL,158
77,2007-07-25,JFK,1200,LAX,1445,B762,AAL,158
78,2007-07-02,JFK,1200,LAX,1445,B762,AAL,158
79,2007-07-03,JFK,1200,LAX,1445,B762,AAL,158
80,2007-07-09,JFK,1200,LAX,1445,B762,AAL,158
81,2007-07-10,JFK,1200,LAX,1445,B762,AAL,158
82,2007-07-16,JFK,1200,LAX,1445,B762,AAL,158
83,2007-07-17,JFK,1200,LAX,1445,B762,AAL,158
84,2007-07-23,JFK,1200,LAX,1445,B762,AAL,158
85,2007-07-24,JFK,1200,LAX,1445,B762,AAL,158
86,2007-07-30,JFK,1200,LAX,1445,B762,AAL,158
87,2007-07-31,JFK,1200,LAX,1445,B762,AAL,158
88,2007-07-01,JFK,1200,LAX,1445,B762,AAL,158
89,2007-07-08,JFK,1200,LAX,1445,B762,AAL,158
90,2007-07-15,JFK,1200,LAX,1445,B762,AAL,158
91,2007-07-22,JFK,1200,LAX,1445,B762,AAL,158
92,2007-07-29,JFK,1200,LAX,1445,B762,AAL,158
93,2007-07-02,LAX,1200,JFK,2035,B762,AAL,158
94,2007-07-03,LAX,1200,JFK,2035,B762,AAL,158
95,2007-07-05,LAX,1200,JFK,2035,B762,AAL,158
96,2007-07-06,LAX,1200,JFK,2035,B762,AAL,158
97,2007-07-01,LAX,1200,JFK,2035,B762,AAL,158
98,2007-07-07,LAX,1200,JFK,2035,B762,AAL,158
99,2007-07-08,LAX,1200,JFK,2035,B762,AAL,158
100,2007-07-09,LAX,1200,JFK,2035,B762,AAL,158
101,2007-07-10,LAX,1200,JFK,2035,B762,AAL,158
